Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,13.2,"$7,510"
2010-03-31,12.38,"$7,525"
2010-06-30,10.88,"$8,674"
2010-09-30,12.52,"$8,426"
2010-12-31,9.12,"$10,494"
2011-03-31,9.03,"$10,517"
2011-06-30,8.92,"$12,737"
2011-09-30,8.9,"$12,248"
2011-12-31,13.66,"$11,040"
2012-03-31,14.28,"$11,137"
2012-06-30,15.15,"$13,085"
2012-09-30,14.6,"$12,340"
2012-12-31,13.69,"$11,455"
2013-03-31,15.83,"$11,035"
2013-06-30,15.94,"$12,749"
2013-09-30,14.85,"$12,030"
2013-12-31,16.56,"$11,040"
2014-03-31,15.87,"$10,576"
2014-06-30,17.62,"$12,574"
2014-09-30,18.47,"$11,976"
2014-12-31,20.83,"$10,872"
2015-03-31,20.3,"$10,711"
2015-06-30,18.29,"$12,156"
2015-09-30,20.68,"$11,427"
2015-12-31,20.85,"$10,000"
2016-03-31,22.82,"$10,282"
2016-06-30,21.44,"$11,539"
2016-09-30,21.28,"$10,633"
2016-12-31,23.13,"$9,409"
2017-03-31,25.06,"$9,118"
2017-06-30,39.77,"$9,702"
2017-09-30,36.78,"$9,078"
2017-12-31,146.98,"$8,314"
2018-03-31,118.44,"$7,626"
2018-06-30,71.52,"$9,421"
2018-09-30,63.1,"$8,775"
2018-12-31,28.25,"$8,478"
2019-03-31,26.95,"$8,694"
2019-06-30,28.25,"$9,997"
2019-09-30,27.72,"$9,507"
2019-12-31,24.69,"$9,068"
2020-03-31,17.76,"$8,601"
2020-06-30,19.8,"$7,150"
2020-09-30,24.36,"$8,652"
2020-12-31,29.25,"$8,611"
2021-03-31,30.39,"$9,020"
2021-06-30,28.07,"$10,129"
2021-09-30,25.14,"$10,042"
2021-12-31,25.81,"$9,464"
2022-03-31,25.86,"$10,491"
2022-07-08,26.53,"$10,491"
