Ticker,Company_Name
BCOW,"1895 Bancorp of Wisconsin, Inc"
SRCE,1st Source Corporation
QFIN,"360 Finance, Inc"
FCO,"Aberdeen Global Income Fund, Inc"
ABGI,ABG Acquisition Corp I - Class A
ACEV,ACE Convergence Acquisition Corp Class A
ACNB,ACNB Corporation
AMPI,Advanced Merger Partners Inc - Class A
IMPX,AEA-Bridges Impact Corp - Class A
AEHA,Aesther Healthcare Acquisition Corp - Class A
AMG,"Affiliated Managers Group, Inc"
AFBI,Affinity Bancshares Inc
ALRS,Alerus Financial Corporation
Y,Alleghany Corporation
ABTX,"Allegiance Bancshares, Inc"
AB,AllianceBernstein Holding L.P
ADS,Alliance Data Systems Corporation
ALLY,Ally Financial Inc
ALCC,AltC Acquisition Corp - Class A
ASPS,Altisource Portfolio Solutions S.A
ALTU,Altitude Acquisition Corp - Class A
AMAL,Amalgamated Bank
AMRK,"A-Mark Precious Metals, Inc"
AMBC,"Ambac Financial Group, Inc"
AMTB,Amerant Bancorp Inc
ATAX,"America First Multifamily Investors, L.P"
AXP,American Express Company
AFG,"American Financial Group, Inc"
AIG,"American International Group, Inc"
AMNB,American National Bankshares Inc
ANAT,American National Insurance Company
AMSF,"Amerisafe, Inc"
ABCB,Ameris Bancorp
HKIB,AMTD International Inc
ANZU,Anzu Special Acquisition Corp I - Class A
AON,Aon plc
APO,"Apollo Global Management, Inc"
ACGL,Arch Capital Group Ltd
AAC,Ares Acquisition Corporation - Class A
ARES,Ares Management Corporation
ARGO,"Argo Group International Holdings, Ltd"
AJG,Arthur J. Gallagher & Co
APAM,Artisan Partners Asset Management Inc
ARYD,Arya Sciences Acquisition Corp IV - Class A
AMK,"AssetMark Financial Holdings, Inc"
AC,"Associated Capital Group, Inc"
AIZ,"Assurant, Inc"
AGO,Assured Guaranty Ltd
ACAQ,Athena Consumer Acquisition Corp - Class A
ACBI,"Atlantic Capital Bancshares, Inc"
ATCO,Atlas Corp.
AUS,Austerlitz Acquisition Corp I - Class A
ASZ,Austerlitz Acquisition Corp II - Class A
AVAN,Avanti Acquisition Corporation Class A
AXS,AXIS Capital Holdings Limited
BCSF,"Bain Capital Specialty Finance, Inc"
BANF,BancFirst Corporation
BCH,Banco de Chile
BANC,"Banc of California, Inc"
BLX,"Banco Latinoamericano de Comercio Exterior, S.A"
CIB,Bancolombia S.A
BMA,Banco Macro S.A
BSBR,Banco Santander (Brasil) S.A
BSAC,Banco Santander-Chile
BSMX,"Banco Santander Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico"
SAN,"Banco Santander, S.A"
BCV,Bancroft Fund Ltd
BAC,Bank of America Corporation
BOH,Bank of Hawaii Corporation
BMRC,Bank of Marin Bancorp
BMO,Bank of Montreal
BOTJ,"Bank of the James Financial Group, Inc"
OZK,Bank OZK
BKU,"BankUnited, Inc"
BANR,Banner Corporation
BNIX,Bannix Acquisition Corp
BHB,Bar Harbor Bankshares
BBDC,"Barings BDC, Inc"
MCI,Barings Corporate Investors
BCML,BayCom Corp
BBAR,BBVA Banco Frances S.A
BCBP,"BCB Bancorp, Inc"
BENE,Benessere Capital Acquisition Corp - Class A
BRK.B,Berkshire Hathaway Inc
BHLB,"Berkshire Hills Bancorp, Inc"
BGCP,"BGC Partners, Inc"
BTBT,Bit Digital Inc
BITF,Bitfarms Ltd.
BME,BlackRock Health Sciences Trust
BLK,"BlackRock, Inc"
BKN,BlackRock Investment Quality Municipal Trust Inc
BLE,BlackRock Municipal Income Trust II
BNY,BlackRock New York Municipal Income Trust
TCPC,BlackRock TCP Capital Corp
BXSL,Blackstone Secured Lending Fund.
BCOR,"Blucora, Inc"
OWL,Blue Owl Capital Inc - Class A
BRBS,Blue Ridge Bankshares Inc.
BOAC,Bluescape Opportunities Acquisition Corp - Class A
LEO,"BNY Mellon Strategic Municipals, Inc"
BOKF,BOK Financial Corporation
BTNB,Bridgetown 2 Holdings Ltd - Class A
BTWN,Bridgetown Holdings Ltd - Class A
BHF,"Brighthouse Financial, Inc"
BLTS,Bright Lights Acquisition Corp - Class A
BSIG,BrightSphere Investment Group Inc
RILY,"B. Riley Financial, Inc"
BRPM,B. Riley Principal 150 Merger Corp - Class A
BRIV,B Riley Principal 250 Merger Corp - Class A
BAM,Brookfield Asset Management Inc
BAMR,"Brookfield Asset Management Reinsurance Partners Ltd (Exchangeable Shares, Sub Voting) - Class A"
BRKL,"Brookline Bancorp, Inc"
BRO,"Brown & Brown, Inc"
BUR,Burford Capital Limited
BFST,"Business First Bancshares, Inc"
CATC,Cambridge Bancorp
CM,Canadian Imperial Bank of Commerce
CBNK,"Capital Bancorp, Inc"
CCBG,"Capital City Bank Group, Inc"
COF,Capital One Financial Corporation
CSWC,Capital Southwest Corporation
CFFN,"Capitol Federal Financial, Inc"
CSTR,"Capstar Financial Holdings, Inc"
CARE,Carter Bank & Trust
CARV,"Carver Bancorp, Inc"
CATY,Cathay General Bancorp
