Ticker,Company_Name
VNET,"21Vianet Group, Inc"
JFU,9F Inc
ATEN,"A10 Networks, Inc"
ACN,Accenture plc
ACIW,"ACI Worldwide, Inc"
ACMR,"ACM Research, Inc"
AMD,"Advanced Micro Devices, Inc"
AFRM,Affirm Holdings Inc - Class A
AGIL,AgileThought Inc - Class A
AGYS,"Agilysys, Inc"
AGMH,AGM Group Holdings Inc
API,Agora Inc. Sponsored ADR Class A
AIRG,"Airgain, Inc"
AKAM,"Akamai Technologies, Inc"
AKTS,"Akoustis Technologies, Inc"
ALRM,"Alarm.com Holdings, Inc"
ALF,ALFI Inc
ALKT,Alkami Technology Inc
AMOT,Allied Motion Technologies Inc
AOSL,Alpha and Omega Semiconductor Limited
ALTR,Altair Engineering Inc
AYX,"Alteryx, Inc"
AMBA,"Ambarella, Inc"
DOX,Amdocs Limited
AMSWA,"American Software, Inc"
AMST,Amesite Inc
AMKR,"Amkor Technology, Inc"
APH,Amphenol Corporation
AMPG,Amplitech Group Inc
ASYS,"Amtech Systems, Inc"
PLAN,"Anaplan, Inc"
ANSS,"ANSYS, Inc"
APPF,"AppFolio, Inc"
APPN,Appian Corporation
AAPL,Apple Inc
AMAT,"Applied Materials, Inc"
APP,Applovin Corp - Class A
APCX,AppTech Corp
ARBE,Arbe Robotics Ltd
ANET,"Arista Networks, Inc"
AIP,Arteris Inc
ASAN,Asana Inc. Class A
ASX,"ASE Technology Holding Co., Ltd"
ASML,ASML Holding N.V
AZPN,"Aspen Technology, Inc"
ALOT,"AstroNova, Inc"
ASUR,"Asure Software, Inc"
TEAM,Atlassian Corporation Plc
ATC,Atotech Ltd
AUUD,Auddia Inc
AUR,Aurora Innovation Inc - Class A
JG,Aurora Mobile Limited
AATC,Autoscope Technologies Corporation
AVPT,AvePoint Inc - Class A
ACLS,"Axcelis Technologies, Inc"
AXTI,"AXT, Inc"
BKKT,Bakkt Holdings Inc - Class A
BAND,Bandwidth Inc
BEEM,Beam Global
BHE,"Benchmark Electronics, Inc"
BNFT,"Benefitfocus, Inc"
BSY,Bentley Systems Incorporated Class B
BBAI,BigBear.ai Holdings Inc
BILL,Bill.com Holdings Inc.
BTCM,BIT Mining Ltd - ADR
BKTI,BK Technologies Corporation
BLKB,"Blackbaud, Inc"
BB,BlackBerry Limited
BKI,"Black Knight, Inc"
BL,"BlackLine, Inc"
BRQS,"Borqs Technologies, Inc"
BOX,"Box, Inc"
BOXL,Boxlight Corporation
BLIN,"Bridgeline Digital, Inc"
BCOV,Brightcove Inc
BR,"Broadridge Financial Solutions, Inc"
BSQR,BSQUARE Corporation
AI,C3.ai Inc - Class A
CCMP,Cabot Microelectronics Corporation
CDNS,"Cadence Design Systems, Inc"
CALX,"Calix, Inc"
CMBM,Cambium Networks Corporation
CAN,Canaan Inc. Sponsored ADR Class A
CTLP,Cantaloupe Inc
CASA,"Casa Systems, Inc"
CZOO,Cazoo Group Ltd - Class A
CCCS,CCC Intelligent Solutions Holdings Inc
CDK,"CDK Global, Inc"
CDW,CDW Corporation
CLS,Celestica Inc
CLBT,Cellebrite DI Ltd
CETX,"Cemtrex, Inc"
CDAY,Ceridian HCM Holding Inc
CEVA,"CEVA, Inc"
GIB,CGI Inc
ECOM,ChannelAdvisor Corporation
CHKP,Check Point Software Technologies Ltd
CD,Chindata Group Holdings Limited Sponsored ADR Class A
IMOS,ChipMOS TECHNOLOGIES INC
CTXS,"Citrix Systems, Inc"
CLSK,Cleanspark Inc.
CLFD,"Clearfield, Inc"
CLRO,"ClearOne, Inc"
CGNX,Cognex Corporation
CTSH,Cognizant Technology Solutions Corporation
COHR,"Coherent, Inc"
COHU,"Cohu, Inc"
COIN,Coinbase Global Inc - Class A
CVLT,"Commvault Systems, Inc"
CMTL,Comtech Telecommunications Corp
CNXC,Concentrix Corporation
CNDT,Conduent Incorporated
CFLT,Confluent Inc Class A
CCSI,Consensus Cloud Solutions Inc
GLW,Corning Incorporated
CRSR,Corsair Gaming Inc.
BASE,Couchbase Inc
CPSH,CPS Technologies Corporation
CTS,CTS Corporation
CVT,Cvent Holding Corp
CYBR,CyberArk Software Ltd
CYBE,CyberOptics Corporation
CYRN,CYREN Ltd
DAKT,"Daktronics, Inc"
DQ,Daqo New Energy Corp
DZSI,"DASAN Zhone Solutions, Inc"
DAIO,Data I/O Corporation
DATS,DatChat Inc
DM,Desktop Metal Inc - Class A
DIDI,DiDi Global Inc - ADR
DBD,"Diebold Nixdorf, Incorporated"
DMRC,Digimarc Corporation
APPS,"Digital Turbine, Inc"
DIOD,Diodes Incorporated
DLO,DLocal Limited Class A
DCBO,Docebo Inc
DOCU,"DocuSign, Inc"
DLB,"Dolby Laboratories, Inc"
DOMO,"Domo, Inc"
DV,DoubleVerify Holdings Inc
DBX,"Dropbox, Inc"
DCT,Duck Creek Technologies Inc
DNB,Dun & Bradstreet Holdings Inc
DXC,DXC Technology Company
EBON,Ebang International Holdings Inc. Class A
EBIX,"Ebix, Inc"
SATS,EchoStar Corporation
ESTC,Elastic N.V
EMKR,EMCORE Corporation
DAVA,Endava plc
WATT,Energous Corporation
ESMT,Engagesmart Inc
PLUS,ePlus inc
ESE,ESCO Technologies Inc
EEFT,"Euronet Worldwide, Inc"
EB,"Eventbrite, Inc"
EVCM,EverCommerce Inc
MRAM,"Everspin Technologies, Inc"
XELA,"Exela Technologies, Inc"
EXLS,"ExlService Holdings, Inc"
EXTR,"Extreme Networks, Inc"
EZFL,EzFill Holdings Inc
FFIV,"F5 Networks, Inc"
FN,Fabrinet
FICO,Fair Isaac Corporation
FARO,"FARO Technologies, Inc"
FIS,"Fidelity National Information Services, Inc"
FLEX,Flex Ltd
FLYW,Flywire Corp
FCUV,Focus Universal Inc
FORG,ForgeRock Inc - Class A
FTNT,"Fortinet, Inc"
FTV,Fortive Corporation
FEIM,"Frequency Electronics, Inc"
FRSH,Freshworks Inc Class A
YMM,Full Truck Alliance Co Ltd - ADR
FTFT,Future FinTech Group Inc
IT,"Gartner, Inc"
GDS,GDS Holdings Limited
G,Genpact Limited
GILT,Gilat Satellite Networks Ltd
GFS,GlobalFoundries Inc
GLOB,Globant S.A
GDDY,GoDaddy Inc
GBOX,GreenBox POS
GDYN,Grid Dynamics Holdings Inc. Class A
HLIT,Harmonic Inc
HCP,HashiCorp Inc - Class A
HPE,Hewlett Packard Enterprise Company
HIMX,"Himax Technologies, Inc"
ICHR,"Ichor Holdings, Ltd"
PI,"Impinj, Inc"
INDI,Indie Semiconductor Inc - Class A
INFN,Infinera Corporation
IFBD,Infobird Co Ltd
INFA,Informatica Inc - Class A
INPX,Inpixon
INSG,Inseego Corp
NSIT,"Insight Enterprises, Inc"
INTA,Intapp Inc
IMTE,Integrated Media Technology Limited
INTC,Intel Corporation
IMXI,"International Money Express, Inc"
INTT,inTEST Corporation
IONQ,IonQ Inc - Class A
IPGP,IPG Photonics Corporation
IRNT,IronNet Inc
IS,ironSource Ltd - Class A
ISUN,iSun Inc
ITI,"Iteris, Inc"
ITRI,"Itron, Inc"
ITRN,Ituran Location and Control Ltd
JBL,Jabil Inc
FROG,JFrog Ltd.
JKS,"JinkoSolar Holding Co., Ltd"
KPLT,Katapult Holdings Inc
KC,Kingsoft Cloud Holdings Ltd Sponsored ADR
KLAC,KLA Corporation
KNBE,KnowBe4 Inc - Class A
KN,Knowles Corporation
KOPN,Kopin Corporation
KOSS,Koss Corporation
KLIC,"Kulicke and Soffa Industries, Inc"
KULR,KULR Technology Group Inc
KVHI,"KVH Industries, Inc"
LAIX,LAIX Inc
LTCH,Latch Inc
LDOS,"Leidos Holdings, Inc"
