Ticker,Company_Name
GTIM,Good Times Restaurants Inc
GPK,Graphic Packaging Holding Company
GHG,GreenTree Hospitality Group Ltd
GEF,"Greif, Inc"
GPI,"Group 1 Automotive, Inc"
GRWG,GrowGeneration Corp.
GES,"Guess', Inc"
HBB,Hamilton Beach Brands Holding Company
HOG,"Harley-Davidson, Inc"
HLBZ,Helbiz Inc.
HIBB,"Hibbett Sports, Inc"
HGV,Hilton Grand Vacations Inc
HLT,Hilton Worldwide Holdings Inc
HOFT,Hooker Furniture Corporation
HZN,Horizon Global Corporation
HOV,"Hovnanian Enterprises, Inc"
HTHT,Huazhu Group Limited
HYLN,Hyliion Holdings Corp. Class A
IMBI,"iMedia Brands, Inc"
INVZ,Innoviz Technologies Ltd
IHG,InterContinental Hotels Group PLC
TILE,"Interface, Inc"
IGT,International Game Technology PLC
IP,International Paper Company
IRBT,iRobot Corporation
JACK,Jack in the Box Inc
JAKK,"JAKKS Pacific, Inc"
JZXN,Jiuzi Holdings Inc
KNDI,"Kandi Technologies Group, Inc"
KRT,Karat Packaging Inc
KBH,KB Home
KBAL,"Kimball International, Inc"
KIRK,"Kirkland's, Inc"
KSS,Kohl's Corporation
KTB,"Kontoor Brands, Inc"
KRUS,"Kura Sushi USA, Inc"
LAKE,"Lakeland Industries, Inc"
LE,"Lands' End, Inc"
LZB,La-Z-Boy Incorporated
LAZY,"Lazydays Holdings, Inc"
LCII,LCI Industries
LEA,Lear Corporation
LEGH,Legacy Housing Corporation
LEG,"Leggett & Platt, Incorporated"
LEN.B,Lennar Corporation
LEN,Lennar Corporation
LEVI,Levi Strauss & Co
LGIH,"LGI Homes, Inc"
LCUT,"Lifetime Brands, Inc"
LTH,Life Time Group Holdings Inc
LIND,"Lindblad Expeditions Holdings, Inc"
LAD,"Lithia Motors, Inc"
LIVE,Live Ventures Incorporated
LKQ,LKQ Corporation
LMPX,LMP Automotive Holdings Inc.
LOW,"Lowe's Companies, Inc"
LCID,Lucid Group Inc
LL,"Lumber Liquidators Holdings, Inc"
M,"Macy's, Inc"
MBUU,"Malibu Boats, Inc"
HZO,"MarineMax, Inc"
MPX,Marine Products Corporation
MAR,"Marriott International, Inc"
MCFT,"MasterCraft Boat Holdings, Inc"
MAT,"Mattel, Inc"
MCD,McDonald's Corporation
MDC,"M.D.C. Holdings, Inc"
MED,"Medifast, Inc"
MLCO,Melco Resorts & Entertainment Limited
MCG,Membership Collective Group Inc Class A
MELI,"MercadoLibre, Inc"
MTH,Meritage Homes Corporation
MTOR,"Meritor, Inc"
MCW,Mister Car Wash Inc
MOD,Modine Manufacturing Company
MCRI,"Monarch Casino & Resort, Inc"
MNRO,"Monro, Inc"
MPAA,"Motorcar Parts of America, Inc"
MOV,"Movado Group, Inc"
MULN,Mullen Automotive Inc
MUSA,Murphy USA Inc
GRIL,Muscle Maker Inc.
NATH,"Nathan's Famous, Inc"
EYE,"National Vision Holdings, Inc"
NTZ,Natuzzi S.p.A
NLS,"Nautilus, Inc"
NEGG,Newegg Commerce Inc
NKE,"NIKE, Inc"
NKLA,Nikola Corporation
NIO,NIO Inc
NDLS,Noodles & Company
NCLH,Norwegian Cruise Line Holdings Ltd
NVVE,Nuvve Holding Corp
ODP,"Office Depot, Inc"
OSW,OneSpaWorld Holdings Limited
ORLY,"O'Reilly Automotive, Inc"
OCG,Oriental Culture Holding Ltd
BARK,Original BARK Co (The) - Class A
OSTK,"Overstock.com, Inc"
OI,"Owens-Illinois, Inc"
OXM,"Oxford Industries, Inc"
OZON,Ozon Holdings Plc Sponsored ADR
PKG,Packaging Corporation of America
PTVE,Pactiv Evergreen Inc.
PZZA,"Papa John's International, Inc"
ID,PARTS iD Inc. Class A
PATK,"Patrick Industries, Inc"
PENN,"Penn National Gaming, Inc"
PAG,"Penske Automotive Group, Inc"
PLNT,"Planet Fitness, Inc"
AGS,"PlayAGS, Inc"
PLYA,Playa Hotels & Resorts N.V
PII,Polaris Inc
PBPB,Potbelly Corporation
PTRA,Proterra Inc
PHM,"PulteGroup, Inc"
QS,QuantumScape Corporation Class A
QRTEA,"Qurate Retail, Inc"
RL,Ralph Lauren Corporation
PACK,Ranpak Holdings Corp
RICK,"RCI Hospitality Holdings, Inc"
RGS,Regis Corporation
RENN,Renren Inc
RENT,Rent the Runway Inc - Class A
QSR,Restaurant Brands International Inc
REYN,Reynolds Consumer Products Inc
RH,RH
RCKY,"Rocky Brands, Inc"
ROL,"Rollins, Inc"
RMO,Romeo Power Inc - Class A
ROST,"Ross Stores, Inc"
ROVR,Rover Group Inc - Class A
RCL,Royal Caribbean Cruises Ltd
RMBL,"RumbleON, Inc"
RSI,Rush Street Interactive Inc - Class A
SBH,"Sally Beauty Holdings, Inc"
SEE,Sealed Air Corporation
SEAS,"SeaWorld Entertainment, Inc"
SCI,Service Corporation International
SBET,SharpLink Gaming Ltd
SFT,Shift Technologies Inc Class A
SCVL,"Shoe Carnival, Inc"
SSU,SIGNA Sports United N.V.
SIG,Signet Jewelers Limited
SLGN,Silgan Holdings Inc
SIX,Six Flags Entertainment Corporation
SKX,"Skechers U.S.A., Inc"
SKY,Skyline Champion Corporation
DTC,Solo Brands Inc - Class A
SPWH,"Sportsman's Warehouse Holdings, Inc"
SBUX,Starbucks Corporation
STLA,Stellantis N.V
SRI,"Stoneridge, Inc"
SUP,"Superior Industries International, Inc"
TPR,"Tapestry, Inc"
TTM,Tata Motors Limited
TPX,"Tempur Sealy International, Inc"
TEN,Tenneco Inc
TMX,Terminix Global Holdings Inc
TSLA,"Tesla, Inc"
TXRH,"Texas Roadhouse, Inc"
BKE,"The Buckle, Inc"
CATO,The Cato Corporation
PLCE,"The Children's Place, Inc"
TCS,"The Container Store Group, Inc"
DXYN,"The Dixie Group, Inc"
GT,The Goodyear Tire & Rubber Company
HD,"The Home Depot, Inc"
INTG,The InterGroup Corporation
LOVE,The Lovesac Company
REAL,"The RealReal, Inc"
WEN,The Wendy's Company
THO,"Thor Industries, Inc"
TDUP,ThredUp Inc - Class A
TTSH,Tile Shop Hldgs Inc
TOL,"Toll Brothers, Inc"
CURV,Torrid Holdings Inc
TM,Toyota Motor Corporation
TSCO,Tractor Supply Company
TA,TravelCenters of America Inc
TNL,Travel+Leisure Co
TRIP,"TripAdvisor, Inc"
TCOM,Trip.com Group Ltd. Sponsored ADR
TPH,"TRI Pointe Group, Inc"
TUP,Tupperware Brands Corporation
ULTA,"Ulta Beauty, Inc"
UA,"Under Armour, Inc"
UAA,"Under Armour, Inc"
UFI,"Unifi, Inc"
UFAB,"Unique Fabricating, Inc"
URBN,"Urban Outfitters, Inc"
MTN,"Vail Resorts, Inc"
VNE,"Veoneer, Inc"
VRA,"Vera Bradley, Inc"
VSCO,Victoria`s Secret & Co
VNCE,Vince Holding Corp
BBIG,Vinco Ventures Inc.
VIOT,"Viomi Technology Co., Ltd"
VIPS,Vipshop Holdings Limited
VMAR,Vision Marine Technologies Inc.
VSTO,Vista Outdoor Inc
VC,Visteon Corporation
VLCN,Volcon Inc
VLTA,Volta Inc - Class A
VRM,Vroom Inc.
W,Wayfair Inc
WEBR,Weber Inc - Class A
WWW,"Wolverine World Wide, Inc"
WKSP,Worksport Ltd
WNW,Wunong Net Technology Co Ltd
WYNN,"Wynn Resorts, Limited"
XELB,"Xcel Brands, Inc"
XSPA,"XpresSpa Group, Inc"
YTRA,"Yatra Online, Inc"
YSG,Yatsen Holding Ltd. ADR Class A
YETI,"YETI Holdings, Inc"
YUM,"YUM! Brands, Inc"
